기간,자치구,동,사업체수,여성대표자,계,남,여,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
2019,성동구,응봉동,369,133,"1,028",495,533,331,589,8,67,10,240,20,132
2019,성동구,금호1가동,567,213,"2,100",926,"1,174",483,"1,237",39,345,18,295,27,223
2019,성동구,금호4가동,657,288,"2,026",895,"1,131",571,"1,354",38,310,17,202,31,160
2019,성동구,성수1가1동,"1,792",506,"10,716","6,274","4,442","1,139","2,871",569,"6,580",44,"1,023",40,242
2019,성동구,성수1가2동,"2,877",768,"21,512","12,757","8,755","1,585","4,315","1,202","16,460",44,511,46,226
2019,성동구,성수2가1동,"2,526",695,"18,394","11,628","6,766","1,727","4,381",726,"12,619",31,"1,117",42,277
2019,성동구,성수2가3동,"5,805","1,298","53,249","32,742","20,507","3,187","9,986","2,469","41,849",100,"1,110",49,304
2019,성동구,송정동,711,195,"2,709","1,617","1,092",602,"1,208",74,824,17,541,18,136
2019,성동구,용답동,"1,864",511,"13,279","8,586","4,693","1,278","3,074",492,"6,916",55,"3,088",39,201
2019,성동구,왕십리도선동,"2,176",855,"10,015","4,417","5,598","1,754","4,991",322,"3,506",47,890,53,628
2019,성동구,금호2.3가동,"1,013",451,"2,670","1,142","1,528",925,"2,039",30,158,21,280,37,193
2019,성동구,옥수동,868,393,"4,189","1,949","2,240",667,"1,668",125,"1,461",26,471,50,589
2019,광진구,소계,"24,445","8,921","126,305","67,899","58,406","19,828","50,696","3,435","49,280",516,"22,249",666,"4,080"
2019,광진구,화양동,"2,447",870,"15,023","7,686","7,337","2,053","6,168",298,"2,673",58,"6,037",38,145
2019,광진구,군자동,"1,593",565,"10,021","5,224","4,797","1,259","3,166",249,"3,986",37,"2,611",48,258
2019,광진구,중곡1동,"1,588",545,"6,288","3,164","3,124","1,319","3,157",207,"2,117",30,803,32,211
2019,광진구,중곡2동,"1,674",632,"6,959","3,631","3,328","1,365","3,536",229,"2,820",33,349,47,254
2019,광진구,중곡3동,"1,301",476,"4,543","2,198","2,345","1,143","2,634",102,939,18,683,38,287
2019,광진구,중곡4동,"1,524",542,"4,751","2,525","2,226","1,352","3,121",102,800,30,704,40,126
2019,광진구,능동,802,284,"5,723","2,718","3,005",573,"1,643",177,"2,208",34,"1,798",18,74
2019,광진구,구의1동,"1,760",667,"6,989","3,769","3,220","1,462","3,746",208,"1,866",34,"1,021",56,356
2019,광진구,구의2동,"1,309",465,"5,912","3,227","2,685","1,097","2,485",132,"2,281",38,892,42,254
2019,광진구,구의3동,"2,695",927,"16,544","9,530","7,014","2,005","5,083",584,"9,793",39,"1,186",67,482
2019,광진구,광장동,"1,398",516,"16,114","10,261","5,853",925,"2,551",363,"11,453",46,"1,391",64,719
2019,광진구,자양1동,"1,780",688,"8,987","4,555","4,432","1,475","4,082",231,"2,787",30,"1,837",44,281
2019,광진구,자양2동,"1,433",488,"6,095","3,386","2,709","1,197","2,747",148,"1,554",32,"1,546",56,248
2019,광진구,자양3동,"1,324",573,"6,185","2,780","3,405","1,040","2,715",212,"2,331",28,869,44,270
2019,광진구,자양4동,"1,817",683,"6,171","3,245","2,926","1,563","3,862",193,"1,672",29,522,32,115
2019,동대문구,소계,"31,324","10,456","138,400","73,067","65,333","26,308","63,629","3,562","40,411",658,"29,030",796,"5,330"
2019,동대문구,회기동,"1,034",418,"10,615","5,107","5,508",875,"2,258",96,679,40,"7,578",23,100
2019,동대문구,휘경1동,929,355,"3,558","1,628","1,930",765,"2,125",97,"1,027",27,184,40,222
2019,동대문구,휘경2동,"1,221",292,"4,930","2,345","2,585","1,088","1,844",56,381,40,"2,424",37,281
2019,동대문구,청량리동,"1,614",587,"8,267","4,363","3,904","1,378","3,652",111,"1,198",67,"2,859",58,558
2019,동대문구,용신동,"5,195","1,573","28,569","14,970","13,599","4,138","10,624",848,"12,269",121,"5,060",88,616
2019,동대문구,제기동,"4,632","1,600","13,499","7,712","5,787","4,107","8,625",370,"3,653",61,697,94,524
2019,동대문구,전농1동,"2,262",879,"7,802","4,089","3,713","1,893","4,334",267,"2,059",42,"1,014",60,395
2019,동대문구,전농2동,920,354,"4,853","2,488","2,365",771,"1,424",53,481,42,"2,593",54,355
2019,동대문구,답십리1동,"1,971",597,"8,041","4,135","3,906","1,646","3,614",233,"3,186",39,717,53,524
2019,동대문구,답십리2동,"2,187",620,"7,544","4,270","3,274","1,798","4,389",288,"2,479",27,173,74,503
2019,동대문구,장안1동,"4,409","1,323","20,501","11,399","9,102","3,532","9,504",748,"9,320",59,"1,371",70,306
2019,동대문구,장안2동,"3,071","1,155","11,503","5,334","6,169","2,666","7,528",302,"2,786",36,723,67,466
2019,동대문구,이문1동,"1,191",448,"6,425","3,919","2,506","1,037","2,481",66,553,46,"3,114",42,277
2019,동대문구,이문2동,688,255,"2,293","1,308",985,614,"1,227",27,340,11,523,36,203
2019,중랑구,소계,"28,228","9,519","103,345","53,185","50,160","24,961","59,466","1,947","24,629",484,"15,873",836,"3,377"
2019,중랑구,면목2동,"2,062",690,"6,306","3,174","3,132","1,866","4,743",128,"1,026",21,403,47,134
